sample_id,style_condition,ccer_score,gold_entity_count,error_type_profile
scenario_055_clinical_charting,clinical_charting,1.8,15,"{""omission"": 8, ""hallucination"": 3, ""substitution"": 1}"
scenario_055_formal_template,formal_template,1.4,15,"{""omission"": 9, ""numeric_error"": 1}"
scenario_055_telegraphic_icu,telegraphic_icu,1.1333,15,"{""frequency_error"": 1, ""hallucination"": 1, ""omission"": 6}"
scenario_056_clinical_charting,clinical_charting,1.3333,15,"{""omission"": 4, ""hallucination"": 1, ""numeric_error"": 3}"
scenario_056_formal_template,formal_template,1.4,15,"{""omission"": 9, ""numeric_error"": 1}"
scenario_056_telegraphic_icu,telegraphic_icu,1.2,15,"{""omission"": 6, ""numeric_error"": 2}"
scenario_057_clinical_charting,clinical_charting,1.0909,11,"{""omission"": 6}"
scenario_057_formal_template,formal_template,1.5455,11,"{""omission"": 7, ""hallucination"": 1}"
scenario_057_telegraphic_icu,telegraphic_icu,2.0909,11,"{""omission"": 10, ""hallucination"": 1}"
scenario_058_clinical_charting,clinical_charting,1.4286,14,"{""omission"": 7, ""numeric_error"": 1, ""hallucination"": 1}"
scenario_058_formal_template,formal_template,1.4286,14,"{""omission"": 7, ""numeric_error"": 1, ""hallucination"": 1}"
scenario_058_telegraphic_icu,telegraphic_icu,1.7857,14,"{""omission"": 8, ""numeric_error"": 3}"
scenario_059_clinical_charting,clinical_charting,1.4667,15,"{""omission"": 5, ""numeric_error"": 4}"
scenario_059_formal_template,formal_template,1.2,15,"{""omission"": 9}"
scenario_059_telegraphic_icu,telegraphic_icu,1.6,15,"{""omission"": 12}"
scenario_060_clinical_charting,clinical_charting,1.3077,13,"{""omission"": 4, ""numeric_error"": 3}"
scenario_060_formal_template,formal_template,1.2308,13,"{""omission"": 8}"
scenario_060_telegraphic_icu,telegraphic_icu,1.5385,13,"{""omission"": 7, ""numeric_error"": 2}"
scenario_061_clinical_charting,clinical_charting,1.25,12,"{""hallucination"": 1, ""omission"": 6}"
scenario_061_formal_template,formal_template,1.0833,12,"{""numeric_error"": 1, ""omission"": 5}"
scenario_061_telegraphic_icu,telegraphic_icu,1.3333,12,"{""hallucination"": 1, ""omission"": 5, ""numeric_error"": 1}"
